Instrument family	Instrument ID	Instrument Name	Link
Piano	0	Acoustic Grand Piano	http://commons.wikimedia.org/wiki/File:Steinway_grand_piano_and_logo.jpg
Piano	1	Bright Acoustic Piano	http://commons.wikimedia.org/wiki/File:Steinway_%26_Sons_upright_piano,_model_K-52_(mahogany_finish),_manufactured_at_Steinway%27s_factory_in_New_York_City.jpg
Piano	2	Electric Grand Piano	http://commons.wikimedia.org/wiki/File:Fender_Rhodes_Suitcase_88_electric_piano,_angled_view,_CMHF.jpg
Piano	3	Honky-Tonk Piano	http://commons.wikimedia.org/wiki/File:The_Honky_Tonk_Blues_-_geograph.org.uk_-_1625960.jpg
Piano	4	Electric Piano 1	http://commons.wikimedia.org/wiki/File:Vierlang-Forster_electric_piano_(1937).jpg
Piano	5	Electric Piano 2	http://commons.wikimedia.org/wiki/File:Wurlitzer_model_112_electric_piano_1956.JPG
Piano	6	Harpsichord	http://commons.wikimedia.org/wiki/File:Single-Manual_Harpsichord_Italy_1783.JPG
Piano	7	Clavi	http://commons.wikimedia.org/wiki/File:Clavi.jpg
Chromatic Percussion	8	Celesta	http://commons.wikimedia.org/wiki/File:Celesta.jpg
Chromatic Percussion	9	Glockenspiel	http://commons.wikimedia.org/wiki/File:Glockenspiel-malletech.jpg
Chromatic Percussion	10	Music Box	http://commons.wikimedia.org/wiki/File:Mermod_Music_Box_swiss_1895_IMG_0254.JPG
Chromatic Percussion	11	Vibraphone	http://commons.wikimedia.org/wiki/File:Tony_Miceli_and_Vibraphone.jpg
Chromatic Percussion	12	Marimba	http://commons.wikimedia.org/wiki/File:Classical_Marimba_player.jpg
Chromatic Percussion	13	Xylophone	http://commons.wikimedia.org/wiki/File:Ksylofon_ubt_0053.jpeg
Chromatic Percussion	14	Tubular Bells	http://commons.wikimedia.org/wiki/File:Tubular-bells.JPG
Chromatic Percussion	15	Dulcimer	http://commons.wikimedia.org/wiki/File:Hammered_dulcimer.JPG
Organ	16	Drawbar Organ	http://commons.wikimedia.org/wiki/File:Farfisa_pergamon_zugriegel.jpg
Organ	17	Percussive Organ	http://en.wikipedia.org/wiki/File:Get_organ-ized!.jpg
Organ	18	Rock Organ	http://commons.wikimedia.org/wiki/File:Elka_E30,_Colors_and_Labels!.jpg
Organ	19	Church Organ	http://commons.wikimedia.org/wiki/File:Church-Pipe-Organ-6138.jpg
Organ	20	Reed Organ	http://commons.wikimedia.org/wiki/File:Snohomish_-_Blackman_House_Museum_01.jpg
Organ	21	Accordion	http://commons.wikimedia.org/wiki/File:Jupiter_bayan_accordion.JPG
Organ	22	Harmonica	http://commons.wikimedia.org/wiki/File:Gaitas.jpg
Organ	23	Tango Accordion	http://commons.wikimedia.org/wiki/File:Accord%C3%A9on_diatonique.jpg
Guitar	24	Acoustic Guitar (nylon)	http://commons.wikimedia.org/wiki/File:Ibanez_TCY20EVV_Talman_Acoustic-Electric_Guitar_(Vintage_Violin_finish)_close-up.jpg
Guitar	25	Acoustic Guitar (steel)	http://commons.wikimedia.org/wiki/File:Guitarist_girl.jpg
Guitar	26	Electric Guitar (jazz)	http://commons.wikimedia.org/wiki/File:Truetone_Jazz_King_(Kay_Speed_Demon_K573).png
Guitar	27	Electric Guitar (clean)	http://commons.wikimedia.org/wiki/File:157_Museu_de_la_M%C3%BAsica,_guitarres_el%C3%A8ctriques.jpg
Guitar	28	Electric Guitar (muted)	http://commons.wikimedia.org/wiki/File:Palm_muting.jpg
Guitar	29	Overdriven Guitar	http://commons.wikimedia.org/wiki/File:Cardiff_Mardi_Gras_2010_MMB_04_Carousel_Cartel.jpg
Guitar	30	Distortion Guitar	http://commons.wikimedia.org/wiki/File:Halo_guitar.jpg
Guitar	31	Guitar Harmonics	http://commons.wikimedia.org/wiki/File:Armonici_chitarra_guitar_harmonics_3.JPG
Bass	32	Acoustic Bass	http://commons.wikimedia.org/wiki/File:Ibanez_acoustic_bass_guitar_%26_Cavaquinho_(8-string_tenor_ukulele).jpg
Bass	33	Electric Bass (finger)	http://commons.wikimedia.org/wiki/File:Finger-Picking-Technik.jpg
Bass	34	Electric Bass (pick)	http://commons.wikimedia.org/wiki/File:Bassplaying_GuitarPick.jpg
Bass	35	Fretless Bass	http://commons.wikimedia.org/wiki/File:JackBruce_%26_fretless_bass.jpg
Bass	36	Slap Bass 1	http://commons.wikimedia.org/wiki/File:Typical_form_of_a_slapping_hand_in_a_bass.jpg
Bass	37	Slap Bass 2	http://en.wikipedia.org/wiki/File:Red_Hot_Chili_Peppers_-_Rock_in_Rio_Madrid_2012_-_11.jpg
Bass	38	Synth Bass 1	http://en.wikipedia.org/wiki/File:TB303_Front_View.jpg
Bass	39	Synth Bass 2	http://commons.wikimedia.org/wiki/File:Behringer_Bass_Synthesizer_BSY600_on_Yamaha_PSR-75.jpg
Strings	40	Violin	http://commons.wikimedia.org/wiki/File:Violin_case.jpg
Strings	41	Viola	http://commons.wikimedia.org/wiki/File:Bratsche.jpg
Strings	42	Cello	http://commons.wikimedia.org/wiki/File:NW_Folklife_2008_-_Ashraf_Hakim_01.jpg
Strings	43	Contrabass	http://commons.wikimedia.org/wiki/File:Contrabass,_cellos,_Deutsches_Museum.jpg
